Shared set,Shared set type,Keyword,Match type
NEG | Freebie Intent (low-risk),Negative keywords,free,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,no cost,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,study,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,studies,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,trial,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,trials,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,clinical trial,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,volunteer,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,grant,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,grants,Phrase
NEG | Freebie Intent (low-risk),Negative keywords,dental school,Phrase
NEG | Price-Sensitive (needs business confirmation),Negative keywords,cheapest,Phrase
NEG | Price-Sensitive (needs business confirmation),Negative keywords,donation,Phrase
NEG | Price-Sensitive (needs business confirmation),Negative keywords,hygiene school,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,aspen dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,castle dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,ideal dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,rodeo dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,7 to 7 dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,ace dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,trident dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,kovar dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,stonehaven dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,forest family dentistry,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,access dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,elite dentistry,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,smile haus,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,enamel dentistry,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,avery ranch dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,vida dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,carus dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,hutto smiles,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,tooth time,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,rose dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,reveal dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,airport dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,dr king dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,cool creek dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,onion creek family dentistry,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,mint dentistry,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,bright now,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,western dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,jefferson dental,Phrase
NEG | Competitor Brands (strategy decision),Negative keywords,affordable dentures,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,temple,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,killeen,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,kerrville,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,cibolo,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,harker heights,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,waco,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,belton,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,copperas cove,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,new braunfels,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,schertz,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,seguin,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,boerne,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,fredericksburg,Phrase
NEG | Far Geography (clearly outside strategy),Negative keywords,san antonio,Phrase
